type,luxury,beach,wild,rating,distance_km,longitude,latitude,cluster
2,0,0,1,4.0,43.690308073225566,-3.62778,40.82194,0
2,0,0,1,4.0,44.26755275052034,-3.62778,40.82194,0
2,0,0,1,4.0,29.20289134144668,-3.62778,40.82194,0
2,0,0,1,4.0,38.32463850458723,-3.62778,40.82194,0
0,0,0,0,4.5,35.82514827459384,-3.9576909,40.6747832,0
1,0,0,1,4.5,54.15696181927397,-3.9576909,40.6747832,0
1,0,0,1,4.5,44.66020792694056,-3.9576909,40.6747832,0
1,0,0,1,4.5,47.47237533566515,-3.9576909,40.6747832,0
1,0,0,1,4.5,51.01684582824224,-3.9576909,40.6747832,0
1,0,0,1,4.5,41.304261403763725,-3.9576909,40.6747832,0
1,0,0,1,4.5,38.04223132744937,-3.9576909,40.6747832,0
1,0,0,1,4.5,31.12667596155404,-3.9576909,40.6747832,0
2,0,0,1,4.5,23.570912368701237,-3.9576909,40.6747832,0
2,0,0,1,4.5,28.26335870194504,-3.9576909,40.6747832,0
2,0,0,1,4.5,30.85883939983638,-3.9576909,40.6747832,0
2,0,0,0,4.5,6.337388305911124,-3.9576909,40.6747832,0
0,0,0,0,4.4,38.89427768254653,-3.875385399999999,40.7416764,0
1,0,0,1,4.4,51.51785706228169,-3.875385399999999,40.7416764,0
1,0,0,1,4.4,50.501680389345104,-3.875385399999999,40.7416764,0
1,0,0,1,4.4,46.33258134845035,-3.875385399999999,40.7416764,0
1,0,0,1,4.4,46.38782844875077,-3.875385399999999,40.7416764,0
1,0,0,1,4.4,44.02862536700849,-3.875385399999999,40.7416764,0
1,0,0,0,4.4,30.351373485455635,-3.875385399999999,40.7416764,0
2,0,0,1,4.4,29.757310918424505,-3.875385399999999,40.7416764,0
2,0,0,1,4.4,33.16697022333502,-3.875385399999999,40.7416764,0
2,0,0,1,4.4,29.254880431791157,-3.875385399999999,40.7416764,0
2,0,0,0,4.4,16.506888602605663,-3.875385399999999,40.7416764,0
0,2,0,0,4.4,47.92299435798108,-4.250189,40.3092221,0
1,2,0,1,4.4,38.03177329646505,-4.250189,40.3092221,0
1,2,0,1,4.4,41.28183711391241,-4.250189,40.3092221,0
1,2,0,1,4.4,41.00483460486223,-4.250189,40.3092221,0
1,2,0,1,4.4,36.13475154468132,-4.250189,40.3092221,0
2,2,0,1,4.4,37.2163051902244,-4.250189,40.3092221,0
2,2,0,1,4.4,40.61601960894792,-4.250189,40.3092221,0
2,2,0,1,4.4,53.14394121529076,-4.250189,40.3092221,0
2,2,0,1,4.4,41.30552936630315,-4.250189,40.3092221,0
