X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping La Pineda de Salou,Carretera de la Costa Tarragona a Salou, Km 5, 43481 La Pineda, T,La Pineda,T,campinglapineda.com,977 37 30 80,"41,088,375",118
0.0,0.000000026167978,Camping Las Lomas,Carretera de Güejar Sierra km 6.5, 18160 Güejar Sierra, Granada,Güejar Sierra,Granada,campinglaslomas.com,958 48 47 42,37.1593972,-3.454792,https://g.page/campinglaslomas?share
0.0,0.000000026167978,"Las Palmeras Camping &amp; Bungalow Tarragona",N-340, km 1168, 43007 Tarragona,Tarragona,Tarragona,laspalmeras.com,977 20 80 81,"411,306,203",13,121
0.0,0.000000026167978,Camping Las Salinas,Platja Llarga, C.N. 340, Km. 1167, 43007 Tarragona, T,Tarragona,T,campinglasalinas.com,977 20 76 28,"411,300,659"
0.0,0.000000026167978,Càmping Ecològic Lava,"Carretera d&apos;Olot a Santa Pau", km 7, 17811 Santa Pau, Girona, Girona,Santa Pau,Girona,campinglava.com,972 68 03 58,"421,520,123"
0.0,0.000000026167978,Camping Granada - Los Bermejales,Pantano de los bermejales s/n, 18126, Granada,Pantano de los Bermejales,Granada,campinglosbermejales.com,958 35 91 90,36.9949066,-3.8802589,https://g.page/CAMPING-LOS-BERMEJALES?share
0.0,0.000000026167978,Camping Los Jarales,Calle Mérida de Jarales, 29649 Costa, Málaga,Calahonda,Málaga,campinglosjarales.com,952 93 00 03,36.4892931,-4.717617,https://g.page/camping-los-jarales?share
0.0,0.000000026167978,Camping Madrid Arco iris,Carretera Villaviciosa de Odón a Boadilla del Monte, M-501, 100, Km 7, 28670 Villaviciosa de Odón, Madrid,Villaviciosa de Odón,Madrid,campingmadridarcoiris.com,916 16 03 87
0.0,0.000000026167978,Camping Natura,Partida casals, 46842 Rugat, Valencia,Rugat,Valencia,campingnatura.com,962 81 41 66,"38,876,866",-0.358077,https://g.page/camping-natura-rugat?share
0.0,0.000000026167978,Camping-Naturista Almanat -Bungalows Naturista Almanat-FKK,Ctra. N-340 kilómetro 269, 29749 Almayate, Málaga,Almayate,Málaga,almanat.es,952 55 64 62,36.7267157,-4.1131347,https://g.page/CampingNaturistaAlmanat?share
0.0,0.000000026167978,Camping Neptuno,Carrer Rodors, 23, 17256 Pals, Girona,Pals,Girona,campingneptuno.com,972 63 67 31,"419,934,921",31
0.0,0.000000026167978,Camping El Tranquilo - Camping Pinoso - Adultos Solo - NO Children,Casas Ibanez 24, 03650 Pinoso, Alicante,Pinoso,Alicante,campingeltranquilo.es,865 77 52 43,"384,094,989",-10,870
