name,city,type
"Camping La Isla",""Bilbao",",campsite
"Camping Carlos V",""Bilbao",",campsite
"Camping Sopelana",""Bilbao",",campsite
"Camping Playa Arenillas",""Bilbao",",campsite
"Plaza de aparcamiento de Caravanas",""Bilbao",",campsite
"Ariño kamper area",""Bilbao",",campsite
CAMPER,""Bilbao",",campsite
"Endai kanpina",""Bilbao",",campsite
"Camping de Castro",""Bilbao",",campsite
"Camping El Brezal",""Bilbao",",campsite
"Camping Florantilles",""Alicante",",campsite
"Camping Racó",""Alicante",",campsite
"Camping Costa Blanca",""Alicante",",campsite
"Cámping Calpe Mar",""Alicante",",campsite
"Camper Park San Fulgencio - Camping",""Alicante",",campsite
"Camping Bon Sol",""Alicante",",campsite
"Camping El Jardín",""Alicante",",campsite
"Camping Cap Blanch",""Alicante",",campsite
"Camping Puig Campana",""Alicante",",campsite
"Càmping Sol de Calp Austral",""Alicante",",campsite
"Camping Benidorm",""Alicante",",campsite
"Camping Armanello (Benidorm)",""Alicante",",campsite
"Camping Alicante Imperium",""Alicante",",campsite
"Sheppards Rest",""Alicante",",campsite
"Camperpark Vista Montaña",""Alicante",",campsite
"Camping el Torres",""Alicante",",campsite
"Camperpark Costa Blanca, S.L.",""Alicante",",campsite
"Camping Mariola",""Alicante",",campsite
"Camping La Torreta Benidorm",""Alicante",",campsite
"Càmping Les Palmeres",""Alicante",",campsite
"Camping Los Villares Sierra de Córdoba",""Córdoba",",campsite
"Camping Carlos III",""Córdoba",",campsite
"Camping La Albolafia",""Córdoba",",campsite
"Camping La Campina",""Córdoba",",campsite
"Camping Puente Nuevo",""Córdoba",",campsite
"Kampaoh Córdoba",""Córdoba",",campsite
"explotaciones familiares los arenales",""Córdoba",",campsite
"Camping Municipal",""Córdoba",",campsite
"Carretera para camping la breña",""Córdoba",",campsite
"Complejo de Área Recreativo El Castillejo",""Córdoba",",campsite
"Domo Glamp DCC",""Córdoba",",campsite
"Área recreativa y zona de acampada controlada "Monte Público Los Ruedos".",""Córdoba",",campsite
"Nave Jose Antonio Quero Valenzuela",""Córdoba",",campsite
"Camping El Astral",""Valladolid",",campsite
"Camping Cubillas",""Valladolid",",campsite
"Camperplace Palencia",""Valladolid",",campsite
"La Campa de Villalar",""Valladolid",",campsite
"Area De Servicio Autocaravanas Castrodeza",""Valladolid",",campsite
"Area de Autocaravanas de Rueda",""Valladolid",",campsite
"Área para Autocaravanas",""Valladolid",",campsite
"Area De Servicio Autocaravanas Husillos",""Valladolid",",campsite
"Area de autocaravanas",""Valladolid",",campsite
Wohnmobilstellplatz,""Valladolid",",campsite
"Camping Angosto",""Vitoria-Gasteiz",",campsite
"Urbasa Camping",""Vitoria-Gasteiz",",campsite
"Gran Camping Zarautz",""Vitoria-Gasteiz",",campsite
"Camping Acedo | Camping en Navarra",""Vitoria-Gasteiz",",campsite
"Etxarriko Kanpina",""Vitoria-Gasteiz",",campsite
"Camping el Roble Verde",""Vitoria-Gasteiz",",campsite
